team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
WSH,2015,82,2.9453658536585365,2.6950000000000003,3.024390243902439,2.3292682926829267
ANA,2016,82,2.7664634146341465,2.546707317073171,2.682926829268293,2.402439024390244
ARI,2016,82,2.4529268292682924,3.313780487804878,2.3292682926829267,3.1463414634146343
BOS,2016,82,3.1141463414634147,2.4056097560975607,2.8292682926829267,2.548780487804878
BUF,2016,82,2.6415853658536586,2.996829268292683,2.426829268292683,2.817073170731707
CAR,2016,82,3.0435365853658536,2.7035365853658537,2.5853658536585367,2.8048780487804876
CBJ,2016,82,2.8843902439024394,2.772317073170732,3.0121951219512195,2.3536585365853657
CGY,2016,82,2.672439024390244,2.8402439024390245,2.707317073170732,2.6707317073170733
CHI,2016,82,2.7603658536585365,2.801219512195122,2.926829268292683,2.5853658536585367
COL,2016,82,2.3221951219512196,2.910487804878049,2.0121951219512195,3.3658536585365852
DAL,2016,82,2.9323170731707315,3.1974390243902437,2.707317073170732,3.1707317073170733
DET,2016,82,2.504390243902439,2.79,2.4146341463414633,2.975609756097561
EDM,2016,82,3.0673170731707318,2.878780487804878,2.9634146341463414,2.524390243902439
FLA,2016,82,2.758658536585366,2.904390243902439,2.5,2.817073170731707
LAK,2016,82,2.7975609756097564,2.5778048780487803,2.426829268292683,2.451219512195122
MIN,2016,82,2.9165853658536585,2.3742682926829266,3.207317073170732,2.5121951219512195
MTL,2016,82,2.7248780487804876,2.630609756097561,2.7195121951219514,2.4146341463414633
NJD,2016,82,2.505,2.9739024390243904,2.1951219512195124,2.9390243902439024
NSH,2016,82,2.790487804878049,2.6619512195121953,2.902439024390244,2.682926829268293
NYI,2016,82,2.8091463414634146,2.8762195121951217,2.9146341463414633,2.902439024390244
NYR,2016,82,2.8375609756097564,2.6890243902439024,3.0853658536585367,2.6341463414634148
OTT,2016,82,2.641951219512195,2.609390243902439,2.5121951219512195,2.5609756097560976
PHI,2016,82,2.9821951219512193,2.745365853658537,2.5853658536585367,2.817073170731707
PIT,2016,82,3.190731707317073,2.9671951219512196,3.3902439024390243,2.792682926829268
SJS,2016,82,2.9014634146341463,2.709878048780488,2.6707317073170733,2.4390243902439024
STL,2016,82,2.5618292682926826,2.51,2.841463414634146,2.6341463414634148
TBL,2016,82,2.935609756097561,2.765731707317073,2.8048780487804876,2.731707317073171
TOR,2016,82,3.278170731707317,3.170487804878049,3.048780487804878,2.8536585365853657
VAN,2016,82,2.4147560975609754,2.995853658536585,2.1707317073170733,2.9390243902439024
WPG,2016,82,2.9091463414634147,2.874512195121951,3.0,3.1097560975609757
WSH,2016,82,2.86609756097561,2.7903658536585367,3.182926829268293,2.158536585365854
